Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP (current US$) [NY.GDP.MKTP.CD],Male & Female Obesity Rate,Region,,,,
2016,YR2016,Uruguay,URY,1469.389648,7.2,77.351,57480787465,27.75,Latin America & Caribbean,,,,
2016,YR2016,Uzbekistan,UZB,129.8217773,17.4,71.58,86138288644,16.4,Europe & Central Asia,,,,
2016,YR2016,Vanuatu,VUT,88.35998535,15.3,70.397,804323576.9,25.15,East Asia & Pacific,,,,
2016,YR2016,"Venezuela, RB",VEN,..,21.5,72.002,..,25.5,Latin America & Caribbean,,,,
2016,YR2016,Viet Nam,VNM,133.1960144,15.4,73.984,2.57096E+11,2.1,East Asia & Pacific,,,,
2016,YR2016,Virgin Islands (U.S.),VIR,..,..,79.16829268,3798000000,..,Latin America & Caribbean,,,,
2016,YR2016,West Bank and Gaza,PSE,299.4125061,15.2,74.917,15405400000,..,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,"Yemen, Rep.",YEM,47.25681305,40.5,67.105,31317825274,17,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Zambia,ZMB,55.39532089,40.9,61.129,20958412538,8,Sub-Saharan Africa,,,,
2016,YR2016,Zimbabwe,ZWE,105.1162567,50.8,59.76,20548759858,15,Sub-Saharan Africa,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
